imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2014a_000158,2014:01:03 19:00:00,32,0,0,12.22,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f30514b5.JPG
SPIGa2014a_000208,2014:01:07 13:00:00,30,0,0,12.22,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f3051519.JPG
SPIGa2014b_000162,2014:01:21 19:00:00,34,13,0,12.22,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ede12fc4d79f30516ab.JPG
SPIGa2012a_000105,2012:12:02 16:00:00,12,0,0,11.67,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e875.JPG
SPIGa2012a_000159,2012:12:06 10:00:00,16,0,0,11.67,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8e1.JPG
SPIGa2012a_000217,2012:12:10 08:00:00,17,0,0,11.67,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e955.JPG
SPIGa2012a_000220,2012:12:10 11:00:00,14,0,0,11.67,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e95b.JPG
SPIGa2012a_000221,2012:12:10 12:00:00,10,0,0,11.67,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e95d.JPG
SPIGa2013b_000003,2013:01:09 17:00:00,18,12,0,11.67,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eab5.JPG
SPIGa2013b_000046,2013:01:12 15:00:00,16,14,0,11.67,new,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb0b.JPG
SPIGa2013b_000107,2013:01:16 16:00:00,14,7,0,11.67,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb85.JPG
SPIGa2013b_000238,2013:01:25 12:00:00,13,12,0,11.67,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ec8b.JPG
SPIGa2013b_000242,2013:01:25 16:00:00,16,12,0,11.67,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ec93.JPG
